R/R500   log(R/R500)    P/P500    log(P/P500)  RhoGas   TGas
0.000028  -4.559   248.680596  2.396  1.24e-25   10.9 
0.000029  -4.538   248.680596  2.396  1.24e-25   10.9 
0.000030  -4.518   248.680596  2.396  1.24e-25   10.9 
0.000032  -4.497   248.680596  2.396  1.24e-25   10.9 
0.000033  -4.477   248.680596  2.396  1.24e-25   10.9 
0.000035  -4.456   248.680596  2.396  1.24e-25   10.9 
0.000037  -4.436   248.680596  2.396  1.24e-25   10.9 
0.000038  -4.416   248.680596  2.396  1.24e-25   10.9 
0.000040  -4.395   248.680596  2.396  1.24e-25   10.9 
0.000042  -4.374   248.680596  2.396  1.24e-25   10.9 
0.000044  -4.354   248.680596  2.396  1.24e-25   10.9 
0.000046  -4.334   248.452449  2.395  1.24e-25   10.9 
0.000049  -4.313   248.452449  2.395  1.24e-25   10.9 
0.000051  -4.293   248.452449  2.395  1.24e-25   10.9 
0.000053  -4.272   248.452449  2.395  1.24e-25   10.9 
0.000056  -4.252   248.452449  2.395  1.24e-25   10.9 
0.000059  -4.231   248.452449  2.395  1.24e-25   10.9 
0.000062  -4.211   248.452449  2.395  1.24e-25   10.9 
0.000064  -4.190   248.452449  2.395  1.24e-25   10.9 
0.000068  -4.170   248.452449  2.395  1.24e-25   10.9 
0.000071  -4.150   248.452449  2.395  1.24e-25   10.9 
0.000074  -4.129   248.452449  2.395  1.24e-25   10.9 
0.000078  -4.109   248.452449  2.395  1.24e-25   10.9 
0.000082  -4.088   248.452449  2.395  1.24e-25   10.9 
0.000086  -4.068   248.452449  2.395  1.24e-25   10.9 
0.000090  -4.047   248.452449  2.395  1.24e-25   10.9 
0.000094  -4.027   248.224302  2.395  1.24e-25   10.9 
0.000099  -4.007   248.224302  2.395  1.24e-25   10.9 
0.000103  -3.986   248.224302  2.395  1.24e-25   10.9 
0.000108  -3.966   248.224302  2.395  1.24e-25   10.9 
0.000113  -3.945   248.224302  2.395  1.24e-25   10.9 
0.000119  -3.925   248.224302  2.395  1.24e-25   10.9 
0.000125  -3.904   248.224302  2.395  1.24e-25   10.9 
0.000131  -3.884   248.224302  2.395  1.24e-25   10.9 
0.000137  -3.863   248.224302  2.395  1.24e-25   10.9 
0.000144  -3.843   247.996154  2.394  1.24e-25   10.9 
0.000150  -3.823   247.996154  2.394  1.24e-25   10.9 
0.000158  -3.802   247.996154  2.394  1.24e-25   10.9 
0.000165  -3.782   247.996154  2.394  1.24e-25   10.9 
0.000173  -3.761   247.996154  2.394  1.24e-25   10.9 
0.000182  -3.741   247.996154  2.394  1.24e-25   10.9 
0.000190  -3.720   247.996154  2.394  1.24e-25   10.9 
0.000200  -3.700   247.768007  2.394  1.24e-25   10.9 
0.000209  -3.679   247.768007  2.394  1.24e-25   10.9 
0.000219  -3.659   247.768007  2.394  1.24e-25   10.9 
0.000230  -3.639   247.768007  2.394  1.24e-25   10.9 
0.000241  -3.618   247.539860  2.394  1.24e-25   10.8 
0.000253  -3.598   247.539860  2.394  1.24e-25   10.8 
0.000265  -3.577   247.539860  2.394  1.24e-25   10.8 
0.000277  -3.557   247.539860  2.394  1.24e-25   10.8 
0.000291  -3.536   247.311712  2.393  1.24e-25   10.8 
0.000305  -3.516   247.311712  2.393  1.24e-25   10.8 
0.000320  -3.495   247.311712  2.393  1.24e-25   10.8 
0.000335  -3.475   247.311712  2.393  1.24e-25   10.8 
0.000351  -3.454   247.083565  2.393  1.24e-25   10.8 
0.000368  -3.434   247.083565  2.393  1.24e-25   10.8 
0.000386  -3.414   247.083565  2.393  1.24e-25   10.8 
0.000404  -3.393   246.855418  2.392  1.24e-25   10.8 
0.000424  -3.373   246.855418  2.392  1.24e-25   10.8 
0.000444  -3.352   246.627270  2.392  1.24e-25   10.8 
0.000466  -3.332   246.627270  2.392  1.24e-25   10.8 
0.000488  -3.311   246.627270  2.392  1.24e-25   10.8 
0.000512  -3.291   246.399123  2.392  1.24e-25   10.8 
0.000536  -3.271   246.399123  2.392  1.24e-25   10.8 
0.000562  -3.250   246.170976  2.391  1.24e-25   10.8 
0.000589  -3.230   246.170976  2.391  1.24e-25   10.8 
0.000618  -3.209   245.942828  2.391  1.24e-25   10.8 
0.000647  -3.189   245.714681  2.390  1.24e-25   10.8 
0.000679  -3.168   245.714681  2.390  1.24e-25   10.8 
0.000712  -3.148   245.486534  2.390  1.24e-25   10.8 
0.000746  -3.127   245.258386  2.390  1.24e-25   10.8 
