# R     RhoDM      RhoGas     MDM      MGas      TGas      FGrav
0.0001 2.718e-22 1.244e-25 1.493e+38 6.704e+34 10.9 0.7326
0.0001048 2.593e-22 1.244e-25 1.64e+38 7.734e+34 10.9 0.7326
0.0001099 2.474e-22 1.244e-25 1.802e+38 8.921e+34 10.9 0.7326
0.0001152 2.36e-22 1.244e-25 1.98e+38 1.029e+35 10.9 0.7326
0.0001207 2.251e-22 1.244e-25 2.176e+38 1.187e+35 10.9 0.7326
0.0001265 2.148e-22 1.244e-25 2.39e+38 1.369e+35 10.9 0.7326
0.0001326 2.049e-22 1.244e-25 2.626e+38 1.578e+35 10.9 0.7326
0.000139 1.955e-22 1.244e-25 2.886e+38 1.82e+35 10.9 0.7326
0.0001457 1.865e-22 1.244e-25 3.17e+38 2.098e+35 10.9 0.7326
0.0001528 1.779e-22 1.244e-25 3.484e+38 2.419e+35 10.9 0.7326
0.0001601 1.697e-22 1.244e-25 3.827e+38 2.789e+35 10.9 0.7326
0.0001678 1.619e-22 1.244e-25 4.205e+38 3.216e+35 10.89 0.7326
0.0001759 1.545e-22 1.244e-25 4.62e+38 3.707e+35 10.89 0.7326
0.0001844 1.474e-22 1.244e-25 5.077e+38 4.273e+35 10.89 0.7326
0.0001933 1.406e-22 1.244e-25 5.578e+38 4.926e+35 10.89 0.7326
0.0002026 1.341e-22 1.244e-25 6.129e+38 5.678e+35 10.89 0.7325
0.0002124 1.28e-22 1.244e-25 6.734e+38 6.544e+35 10.89 0.7325
0.0002226 1.221e-22 1.244e-25 7.398e+38 7.543e+35 10.89 0.7325
0.0002334 1.165e-22 1.244e-25 8.129e+38 8.693e+35 10.89 0.7325
0.0002446 1.111e-22 1.244e-25 8.931e+38 1.002e+36 10.89 0.7325
0.0002564 1.06e-22 1.244e-25 9.813e+38 1.155e+36 10.89 0.7325
0.0002688 1.011e-22 1.244e-25 1.078e+39 1.331e+36 10.89 0.7325
0.0002817 9.648e-23 1.244e-25 1.185e+39 1.533e+36 10.89 0.7325
0.0002953 9.204e-23 1.244e-25 1.302e+39 1.767e+36 10.89 0.7324
0.0003095 8.781e-23 1.244e-25 1.43e+39 2.036e+36 10.89 0.7324
0.0003244 8.377e-23 1.244e-25 1.571e+39 2.346e+36 10.89 0.7324
0.0003401 7.992e-23 1.244e-25 1.726e+39 2.703e+36 10.88 0.7324
0.0003565 7.624e-23 1.244e-25 1.897e+39 3.115e+36 10.88 0.7324
0.0003736 7.274e-23 1.244e-25 2.084e+39 3.589e+36 10.88 0.7324
0.0003917 6.939e-23 1.244e-25 2.29e+39 4.135e+36 10.88 0.7323
0.0004105 6.62e-23 1.244e-25 2.516e+39 4.764e+36 10.88 0.7323
0.0004303 6.316e-23 1.244e-25 2.764e+39 5.488e+36 10.88 0.7323
0.0004511 6.025e-23 1.244e-25 3.037e+39 6.323e+36 10.88 0.7323
0.0004728 5.748e-23 1.244e-25 3.337e+39 7.285e+36 10.88 0.7323
0.0004956 5.484e-23 1.244e-25 3.667e+39 8.392e+36 10.88 0.7322
0.0005195 5.232e-23 1.244e-25 4.029e+39 9.668e+36 10.87 0.7322
0.0005445 4.991e-23 1.244e-25 4.426e+39 1.114e+37 10.87 0.7322
0.0005708 4.761e-23 1.244e-25 4.863e+39 1.283e+37 10.87 0.7322
0.0005983 4.542e-23 1.244e-25 5.344e+39 1.478e+37 10.87 0.7321
0.0006271 4.334e-23 1.244e-25 5.871e+39 1.703e+37 10.87 0.7321
0.0006574 4.134e-23 1.244e-25 6.451e+39 1.961e+37 10.87 0.7321
0.0006891 3.944e-23 1.244e-25 7.088e+39 2.259e+37 10.87 0.732
0.0007223 3.763e-23 1.244e-25 7.787e+39 2.603e+37 10.86 0.732
0.0007571 3.59e-23 1.244e-25 8.556e+39 2.998e+37 10.86 0.732
0.0007936 3.425e-23 1.244e-25 9.401e+39 3.453e+37 10.86 0.7319
0.0008318 3.267e-23 1.244e-25 1.033e+40 3.978e+37 10.86 0.7319
