R/R500   log(R/R500)    P/P500    log(P/P500)  RhoGas   TGas
0.000149  -3.828   56.366067  1.751  2.98e-26   29.4 
0.000155  -3.810   56.366067  1.751  2.98e-26   29.4 
0.000162  -3.792   56.366067  1.751  2.98e-26   29.4 
0.000168  -3.774   56.366067  1.751  2.98e-26   29.4 
0.000175  -3.756   56.366067  1.751  2.98e-26   29.4 
0.000183  -3.738   56.366067  1.751  2.98e-26   29.4 
0.000190  -3.721   56.366067  1.751  2.98e-26   29.4 
0.000198  -3.703   56.366067  1.751  2.98e-26   29.4 
0.000207  -3.685   56.346862  1.751  2.98e-26   29.3 
0.000215  -3.667   56.346862  1.751  2.98e-26   29.3 
0.000224  -3.649   56.346862  1.751  2.98e-26   29.3 
0.000234  -3.632   56.346862  1.751  2.98e-26   29.3 
0.000243  -3.614   56.346862  1.751  2.98e-26   29.3 
0.000254  -3.596   56.346862  1.751  2.98e-26   29.3 
0.000264  -3.578   56.346862  1.751  2.98e-26   29.3 
0.000275  -3.560   56.327657  1.751  2.98e-26   29.3 
0.000287  -3.542   56.327657  1.751  2.98e-26   29.3 
0.000299  -3.525   56.327657  1.751  2.98e-26   29.3 
0.000311  -3.507   56.327657  1.751  2.98e-26   29.3 
0.000324  -3.489   56.327657  1.751  2.98e-26   29.3 
0.000338  -3.471   56.308453  1.751  2.98e-26   29.3 
0.000352  -3.453   56.308453  1.751  2.98e-26   29.3 
0.000367  -3.436   56.308453  1.751  2.98e-26   29.3 
0.000382  -3.418   56.308453  1.751  2.98e-26   29.3 
0.000398  -3.400   56.289248  1.750  2.98e-26   29.3 
0.000415  -3.382   56.289248  1.750  2.98e-26   29.3 
0.000432  -3.364   56.289248  1.750  2.98e-26   29.3 
0.000450  -3.346   56.289248  1.750  2.98e-26   29.3 
0.000469  -3.329   56.270043  1.750  2.98e-26   29.3 
0.000489  -3.311   56.270043  1.750  2.98e-26   29.3 
0.000509  -3.293   56.270043  1.750  2.98e-26   29.3 
0.000531  -3.275   56.250838  1.750  2.98e-26   29.3 
0.000553  -3.257   56.250838  1.750  2.98e-26   29.3 
0.000576  -3.240   56.250838  1.750  2.98e-26   29.3 
0.000600  -3.222   56.231633  1.750  2.98e-26   29.3 
0.000625  -3.204   56.231633  1.750  2.98e-26   29.3 
0.000652  -3.186   56.212429  1.750  2.98e-26   29.3 
0.000679  -3.168   56.193546  1.750  2.98e-26   29.3 
0.000707  -3.150   56.193546  1.750  2.98e-26   29.3 
0.000737  -3.133   56.174348  1.750  2.98e-26   29.3 
0.000768  -3.115   56.174348  1.750  2.98e-26   29.3 
0.000800  -3.097   56.155150  1.749  2.98e-26   29.2 
0.000834  -3.079   56.155150  1.749  2.98e-26   29.2 
0.000868  -3.061   56.135951  1.749  2.98e-26   29.2 
