# R     RhoDM      RhoGas     MDM      MGas      TGas      FGrav
0.0001 9.425e-23 2.977e-26 2.247e+40 8.83e+36 29.35 3.844
0.0001042 9.046e-23 2.977e-26 2.439e+40 1.002e+37 29.35 3.844
0.0001086 8.682e-23 2.977e-26 2.647e+40 1.136e+37 29.35 3.844
0.0001131 8.333e-23 2.977e-26 2.874e+40 1.288e+37 29.35 3.844
0.0001178 7.998e-23 2.977e-26 3.119e+40 1.461e+37 29.35 3.844
0.0001228 7.677e-23 2.977e-26 3.386e+40 1.656e+37 29.35 3.844
0.0001279 7.368e-23 2.977e-26 3.676e+40 1.878e+37 29.35 3.844
0.0001333 7.072e-23 2.977e-26 3.99e+40 2.129e+37 29.35 3.844
0.0001389 6.788e-23 2.977e-26 4.331e+40 2.413e+37 29.34 3.844
0.0001447 6.515e-23 2.977e-26 4.702e+40 2.735e+37 29.34 3.844
0.0001507 6.253e-23 2.977e-26 5.104e+40 3.1e+37 29.34 3.844
0.000157 6.001e-23 2.977e-26 5.541e+40 3.513e+37 29.34 3.844
0.0001636 5.76e-23 2.977e-26 6.015e+40 3.98e+37 29.34 3.844
0.0001705 5.529e-23 2.977e-26 6.529e+40 4.51e+37 29.34 3.844
0.0001776 5.306e-23 2.977e-26 7.087e+40 5.109e+37 29.34 3.844
0.0001851 5.093e-23 2.977e-26 7.694e+40 5.788e+37 29.33 3.844
0.0001928 4.888e-23 2.977e-26 8.352e+40 6.557e+37 29.33 3.844
0.0002009 4.692e-23 2.977e-26 9.066e+40 7.428e+37 29.33 3.844
0.0002093 4.503e-23 2.977e-26 9.841e+40 8.413e+37 29.33 3.844
0.0002181 4.322e-23 2.977e-26 1.068e+41 9.529e+37 29.33 3.844
0.0002272 4.148e-23 2.977e-26 1.16e+41 1.079e+38 29.32 3.844
0.0002367 3.981e-23 2.977e-26 1.259e+41 1.222e+38 29.32 3.844
0.0002466 3.821e-23 2.977e-26 1.367e+41 1.384e+38 29.32 3.844
0.000257 3.668e-23 2.977e-26 1.483e+41 1.567e+38 29.32 3.844
0.0002677 3.52e-23 2.977e-26 1.61e+41 1.775e+38 29.31 3.843
0.0002789 3.379e-23 2.977e-26 1.748e+41 2.009e+38 29.31 3.843
0.0002906 3.243e-23 2.977e-26 1.897e+41 2.275e+38 29.31 3.843
0.0003028 3.113e-23 2.977e-26 2.06e+41 2.575e+38 29.31 3.843
0.0003155 2.987e-23 2.977e-26 2.236e+41 2.916e+38 29.3 3.843
0.0003287 2.867e-23 2.977e-26 2.427e+41 3.301e+38 29.3 3.843
0.0003425 2.752e-23 2.977e-26 2.635e+41 3.736e+38 29.3 3.843
0.0003568 2.641e-23 2.977e-26 2.86e+41 4.23e+38 29.29 3.843
0.0003718 2.535e-23 2.977e-26 3.105e+41 4.788e+38 29.29 3.843
0.0003873 2.433e-23 2.977e-26 3.37e+41 5.419e+38 29.29 3.843
0.0004036 2.335e-23 2.977e-26 3.659e+41 6.134e+38 29.28 3.843
0.0004205 2.242e-23 2.977e-26 3.971e+41 6.942e+38 29.28 3.843
0.0004381 2.151e-23 2.977e-26 4.311e+41 7.857e+38 29.27 3.842
0.0004564 2.065e-23 2.976e-26 4.68e+41 8.892e+38 29.27 3.842
0.0004755 1.982e-23 2.976e-26 5.08e+41 1.006e+39 29.27 3.842
0.0004955 1.902e-23 2.976e-26 5.515e+41 1.139e+39 29.26 3.842
0.0005162 1.826e-23 2.976e-26 5.986e+41 1.289e+39 29.26 3.842
0.0005378 1.752e-23 2.976e-26 6.498e+41 1.458e+39 29.25 3.842
0.0005604 1.682e-23 2.976e-26 7.054e+41 1.65e+39 29.25 3.842
0.0005838 1.614e-23 2.976e-26 7.657e+41 1.868e+39 29.24 3.842
0.0006083 1.549e-23 2.976e-26 8.312e+41 2.113e+39 29.23 3.841
0.0006338 1.487e-23 2.976e-26 9.023e+41 2.391e+39 29.23 3.841
0.0006603 1.427e-23 2.976e-26 9.795e+41 2.706e+39 29.22 3.841
0.000688 1.37e-23 2.976e-26 1.063e+42 3.061e+39 29.22 3.841
0.0007168 1.315e-23 2.976e-26 1.154e+42 3.464e+39 29.21 3.841
0.0007468 1.262e-23 2.976e-26 1.253e+42 3.919e+39 29.2 3.841
0.0007781 1.211e-23 2.976e-26 1.36e+42 4.434e+39 29.2 3.84
0.0008107 1.163e-23 2.976e-26 1.476e+42 5.016e+39 29.19 3.84
0.0008446 1.116e-23 2.976e-26 1.603e+42 5.676e+39 29.18 3.84
0.00088 1.071e-23 2.976e-26 1.74e+42 6.421e+39 29.17 3.84
0.0009169 1.028e-23 2.976e-26 1.889e+42 7.264e+39 29.16 3.84
0.0009553 9.866e-24 2.976e-26 2.05e+42 8.218e+39 29.16 3.839
0.0009953 9.469e-24 2.976e-26 2.225e+42 9.297e+39 29.15 3.839
0.001037 9.089e-24 2.976e-26 2.416e+42 1.052e+40 29.14 3.839
0.00108 8.723e-24 2.975e-26 2.622e+42 1.19e+40 29.13 3.839
0.001126 8.373e-24 2.975e-26 2.847e+42 1.346e+40 29.12 3.838
0.001173 8.036e-24 2.975e-26 3.09e+42 1.523e+40 29.11 3.838
0.001222 7.713e-24 2.975e-26 3.354e+42 1.722e+40 29.1 3.838
0.001273 7.403e-24 2.975e-26 3.641e+42 1.948e+40 29.09 3.837
0.001326 7.105e-24 2.975e-26 3.953e+42 2.204e+40 29.08 3.837
0.001382 6.82e-24 2.975e-26 4.291e+42 2.493e+40 29.06 3.837
0.00144 6.545e-24 2.974e-26 4.658e+42 2.82e+40 29.05 3.836
0.0015 6.282e-24 2.974e-26 5.056e+42 3.19e+40 29.04 3.836
0.001563 6.03e-24 2.974e-26 5.489e+42 3.608e+40 29.03 3.836
0.001629 5.787e-24 2.974e-26 5.958e+42 4.081e+40 29.01 3.835
0.001697 5.555e-24 2.974e-26 6.468e+42 4.616e+40 29 3.835
0.001768 5.331e-24 2.973e-26 7.021e+42 5.221e+40 28.98 3.834
0.001842 5.117e-24 2.973e-26 7.621e+42 5.906e+40 28.97 3.834
0.001919 4.911e-24 2.973e-26 8.273e+42 6.68e+40 28.95 3.834
0.001999 4.714e-24 2.972e-26 8.981e+42 7.555e+40 28.94 3.833
0.002083 4.524e-24 2.972e-26 9.749e+42 8.545e+40 28.92 3.833
0.00217 4.342e-24 2.972e-26 1.058e+43 9.665e+40 28.9 3.832
0.002261 4.168e-24 2.971e-26 1.149e+43 1.093e+41 28.89 3.832
0.002356 4e-24 2.971e-26 1.247e+43 1.236e+41 28.87 3.831
0.002455 3.839e-24 2.97e-26 1.354e+43 1.398e+41 28.85 3.83
0.002558 3.685e-24 2.97e-26 1.47e+43 1.581e+41 28.83 3.83
0.002665 3.537e-24 2.969e-26 1.595e+43 1.788e+41 28.81 3.829
0.002776 3.395e-24 2.968e-26 1.732e+43 2.022e+41 28.79 3.829
0.002893 3.258e-24 2.968e-26 1.88e+43 2.287e+41 28.77 3.828
0.003014 3.127e-24 2.967e-26 2.04e+43 2.586e+41 28.75 3.827
0.00314 3.002e-24 2.966e-26 2.215e+43 2.925e+41 28.72 3.827
0.003272 2.881e-24 2.965e-26 2.404e+43 3.307e+41 28.7 3.826
0.003409 2.765e-24 2.964e-26 2.61e+43 3.74e+41 28.68 3.825
0.003551 2.654e-24 2.963e-26 2.833e+43 4.229e+41 28.65 3.824
0.0037 2.547e-24 2.962e-26 3.076e+43 4.782e+41 28.63 3.823
0.003855 2.445e-24 2.96e-26 3.339e+43 5.407e+41 28.6 3.823
0.004017 2.346e-24 2.959e-26 3.624e+43 6.114e+41 28.58 3.822
0.004185 2.252e-24 2.958e-26 3.934e+43 6.913e+41 28.55 3.821
0.00436 2.162e-24 2.956e-26 4.271e+43 7.816e+41 28.52 3.82
0.004543 2.075e-24 2.954e-26 4.636e+43 8.837e+41 28.5 3.819
0.004733 1.991e-24 2.952e-26 5.033e+43 9.992e+41 28.47 3.818
0.004931 1.911e-24 2.95e-26 5.463e+43 1.13e+42 28.44 3.816
0.005138 1.834e-24 2.948e-26 5.93e+43 1.277e+42 28.41 3.815
0.005353 1.761e-24 2.946e-26 6.437e+43 1.444e+42 28.39 3.814
0.005577 1.69e-24 2.943e-26 6.988e+43 1.632e+42 28.36 3.813
0.005811 1.622e-24 2.94e-26 7.586e+43 1.845e+42 28.33 3.811
0.006054 1.557e-24 2.937e-26 8.234e+43 2.085e+42 28.3 3.81
0.006308 1.494e-24 2.934e-26 8.939e+43 2.357e+42 28.27 3.809
0.006572 1.434e-24 2.93e-26 9.703e+43 2.664e+42 28.24 3.807
0.006847 1.376e-24 2.926e-26 1.053e+44 3.011e+42 28.21 3.805
0.007134 1.321e-24 2.922e-26 1.143e+44 3.402e+42 28.18 3.804
0.007433 1.268e-24 2.918e-26 1.241e+44 3.844e+42 28.16 3.802
0.007744 1.217e-24 2.913e-26 1.347e+44 4.344e+42 28.13 3.8
0.008069 1.168e-24 2.907e-26 1.463e+44 4.908e+42 28.1 3.799
0.008407 1.121e-24 2.902e-26 1.588e+44 5.544e+42 28.08 3.797
0.008759 1.076e-24 2.896e-26 1.723e+44 6.263e+42 28.05 3.795
0.009126 1.033e-24 2.889e-26 1.871e+44 7.074e+42 28.03 3.793
0.009508 9.912e-25 2.882e-26 2.031e+44 7.989e+42 28 3.79
0.009906 9.514e-25 2.874e-26 2.205e+44 9.022e+42 27.98 3.788
0.01032 9.131e-25 2.866e-26 2.393e+44 1.019e+43 27.96 3.786
0.01075 8.764e-25 2.857e-26 2.598e+44 1.15e+43 27.95 3.783
0.0112 8.412e-25 2.847e-26 2.82e+44 1.298e+43 27.93 3.781
0.01167 8.074e-25 2.837e-26 3.061e+44 1.465e+43 27.92 3.778
0.01216 7.749e-25 2.826e-26 3.323e+44 1.653e+43 27.91 3.776
0.01267 7.438e-25 2.814e-26 3.607e+44 1.865e+43 27.91 3.773
0.0132 7.139e-25 2.802e-26 3.916e+44 2.104e+43 27.91 3.77
0.01376 6.852e-25 2.788e-26 4.251e+44 2.372e+43 27.91 3.767
0.01433 6.576e-25 2.774e-26 4.614e+44 2.675e+43 27.92 3.763
0.01493 6.312e-25 2.759e-26 5.009e+44 3.015e+43 27.93 3.76
0.01556 6.058e-25 2.742e-26 5.437e+44 3.398e+43 27.95 3.757
0.01621 5.814e-25 2.725e-26 5.902e+44 3.828e+43 27.97 3.753
0.01689 5.581e-25 2.706e-26 6.407e+44 4.312e+43 28 3.749
0.0176 5.356e-25 2.687e-26 6.955e+44 4.855e+43 28.04 3.745
0.01833 5.141e-25 2.666e-26 7.55e+44 5.464e+43 28.08 3.741
0.0191 4.934e-25 2.644e-26 8.196e+44 6.149e+43 28.13 3.737
0.0199 4.736e-25 2.621e-26 8.897e+44 6.916e+43 28.19 3.733
0.02073 4.546e-25 2.596e-26 9.658e+44 7.776e+43 28.26 3.728
0.0216 4.363e-25 2.571e-26 1.048e+45 8.74e+43 28.34 3.723
0.02251 4.187e-25 2.544e-26 1.138e+45 9.819e+43 28.43 3.718
0.02345 4.019e-25 2.515e-26 1.235e+45 1.103e+44 28.53 3.713
0.02443 3.857e-25 2.485e-26 1.341e+45 1.238e+44 28.63 3.708
0.02546 3.702e-25 2.455e-26 1.456e+45 1.389e+44 28.75 3.702
0.02652 3.554e-25 2.422e-26 1.58e+45 1.557e+44 28.89 3.697
0.02763 3.411e-25 2.389e-26 1.715e+45 1.745e+44 29.03 3.691
0.02879 3.274e-25 2.354e-26 1.862e+45 1.955e+44 29.19 3.684
0.03 3.142e-25 2.318e-26 2.021e+45 2.189e+44 29.36 3.678
0.03125 3.016e-25 2.281e-26 2.194e+45 2.449e+44 29.54 3.671
0.03256 2.894e-25 2.243e-26 2.382e+45 2.738e+44 29.74 3.664
0.03393 2.778e-25 2.204e-26 2.586e+45 3.061e+44 29.95 3.657
0.03535 2.666e-25 2.163e-26 2.807e+45 3.418e+44 30.18 3.649
0.03683 2.559e-25 2.122e-26 3.047e+45 3.816e+44 30.42 3.642
0.03837 2.456e-25 2.08e-26 3.307e+45 4.257e+44 30.67 3.633
0.03998 2.357e-25 2.038e-26 3.59e+45 4.745e+44 30.94 3.625
0.04165 2.263e-25 1.995e-26 3.897e+45 5.287e+44 31.23 3.616
0.0434 2.172e-25 1.951e-26 4.231e+45 5.886e+44 31.52 3.607
0.04521 2.084e-25 1.906e-26 4.592e+45 6.549e+44 31.84 3.598
0.04711 2.001e-25 1.862e-26 4.985e+45 7.282e+44 32.17 3.588
0.04908 1.92e-25 1.817e-26 5.412e+45 8.092e+44 32.51 3.578
0.05114 1.843e-25 1.772e-26 5.874e+45 8.985e+44 32.86 3.567
0.05328 1.769e-25 1.727e-26 6.377e+45 9.971e+44 33.23 3.556
0.05551 1.698e-25 1.682e-26 6.922e+45 1.106e+45 33.62 3.545
0.05784 1.629e-25 1.637e-26 7.514e+45 1.226e+45 34.01 3.533
0.06026 1.564e-25 1.592e-26 8.157e+45 1.357e+45 34.42 3.521
0.06278 1.501e-25 1.548e-26 8.855e+45 1.502e+45 34.84 3.509
0.06541 1.441e-25 1.504e-26 9.612e+45 1.662e+45 35.27 3.496
0.06815 1.383e-25 1.46e-26 1.043e+46 1.837e+45 35.71 3.482
0.07101 1.327e-25 1.417e-26 1.133e+46 2.03e+45 36.16 3.468
0.07398 1.274e-25 1.375e-26 1.23e+46 2.241e+45 36.62 3.454
0.07708 1.223e-25 1.333e-26 1.335e+46 2.473e+45 37.09 3.439
0.08031 1.173e-25 1.291e-26 1.449e+46 2.728e+45 37.57 3.423
0.08367 1.126e-25 1.251e-26 1.573e+46 3.007e+45 38.05 3.407
0.08718 1.081e-25 1.211e-26 1.707e+46 3.313e+45 38.54 3.391
0.09083 1.038e-25 1.172e-26 1.853e+46 3.648e+45 39.03 3.374
0.09463 9.958e-26 1.133e-26 2.012e+46 4.015e+45 39.53 3.356
0.0986 9.558e-26 1.096e-26 2.184e+46 4.417e+45 40.04 3.338
0.1027 9.174e-26 1.059e-26 2.371e+46 4.857e+45 40.54 3.319
0.107 8.805e-26 1.023e-26 2.573e+46 5.338e+45 41.05 3.299
0.1115 8.451e-26 9.881e-27 2.793e+46 5.864e+45 41.55 3.279
0.1162 8.111e-26 9.539e-27 3.032e+46 6.439e+45 42.06 3.259
0.1211 7.785e-26 9.206e-27 3.292e+46 7.067e+45 42.57 3.237
0.1261 7.472e-26 8.882e-27 3.573e+46 7.753e+45 43.07 3.215
0.1314 7.171e-26 8.566e-27 3.879e+46 8.503e+45 43.57 3.193
0.1369 6.883e-26 8.258e-27 4.21e+46 9.321e+45 44.07 3.17
0.1426 6.606e-26 7.959e-27 4.571e+46 1.021e+46 44.56 3.146
0.1486 6.341e-26 7.668e-27 4.961e+46 1.119e+46 45.05 3.121
0.1548 6.086e-26 7.386e-27 5.386e+46 1.225e+46 45.52 3.095
0.1613 5.841e-26 7.111e-27 5.846e+46 1.341e+46 46 3.069
0.1681 5.606e-26 6.845e-27 6.346e+46 1.467e+46 46.46 3.042
0.1751 5.381e-26 6.586e-27 6.889e+46 1.605e+46 46.91 3.015
0.1825 5.164e-26 6.335e-27 7.478e+46 1.755e+46 47.36 2.987
0.1901 4.957e-26 6.091e-27 8.118e+46 1.919e+46 47.79 2.958
0.1981 4.757e-26 5.855e-27 8.812e+46 2.097e+46 48.21 2.928
0.2064 4.566e-26 5.626e-27 9.566e+46 2.291e+46 48.61 2.898
0.215 4.382e-26 5.404e-27 1.038e+47 2.501e+46 49.01 2.866
0.224 4.206e-26 5.188e-27 1.127e+47 2.731e+46 49.38 2.834
0.2334 4.037e-26 4.98e-27 1.224e+47 2.98e+46 49.75 2.801
0.2432 3.875e-26 4.778e-27 1.328e+47 3.252e+46 50.09 2.768
0.2534 3.719e-26 4.583e-27 1.442e+47 3.547e+46 50.42 2.734
0.264 3.569e-26 4.394e-27 1.565e+47 3.867e+46 50.73 2.699
0.275 3.426e-26 4.211e-27 1.699e+47 4.215e+46 51.02 2.664
0.2866 3.288e-26 4.034e-27 1.844e+47 4.593e+46 51.29 2.628
0.2986 3.156e-26 3.863e-27 2.002e+47 5.003e+46 51.54 2.591
0.3111 3.029e-26 3.698e-27 2.173e+47 5.448e+46 51.77 2.553
0.3241 2.907e-26 3.538e-27 2.359e+47 5.931e+46 51.97 2.515
0.3377 2.79e-26 3.384e-27 2.561e+47 6.455e+46 52.15 2.476
0.3518 2.678e-26 3.236e-27 2.78e+47 7.022e+46 52.3 2.436
0.3665 2.57e-26 3.092e-27 3.018e+47 7.638e+46 52.43 2.396
0.3819 2.467e-26 2.954e-27 3.276e+47 8.304e+46 52.53 2.356
0.3979 2.368e-26 2.821e-27 3.556e+47 9.026e+46 52.59 2.315
0.4146 2.272e-26 2.693e-27 3.86e+47 9.807e+46 52.62 2.274
0.4319 2.181e-26 2.569e-27 4.19e+47 1.065e+47 52.62 2.232
0.45 2.093e-26 2.451e-27 4.548e+47 1.157e+47 52.59 2.189
0.4689 2.009e-26 2.337e-27 4.937e+47 1.256e+47 52.51 2.146
0.4885 1.928e-26 2.227e-27 5.359e+47 1.363e+47 52.4 2.103
0.509 1.851e-26 2.122e-27 5.817e+47 1.478e+47 52.25 2.059
0.5303 1.776e-26 2.021e-27 6.315e+47 1.603e+47 52.05 2.015
0.5525 1.705e-26 1.924e-27 6.855e+47 1.738e+47 51.8 1.971
0.5756 1.636e-26 1.831e-27 7.441e+47 1.883e+47 51.51 1.927
0.5998 1.57e-26 1.742e-27 8.077e+47 2.04e+47 51.17 1.883
0.6249 1.507e-26 1.657e-27 8.768e+47 2.21e+47 50.77 1.838
0.6511 1.447e-26 1.575e-27 9.518e+47 2.393e+47 50.32 1.794
0.6783 1.388e-26 1.498e-27 1.033e+48 2.591e+47 49.81 1.749
0.7067 1.332e-26 1.423e-27 1.121e+48 2.804e+47 49.23 1.704
0.7363 1.279e-26 1.352e-27 1.217e+48 3.034e+47 48.6 1.659
0.7672 1.227e-26 1.284e-27 1.321e+48 3.283e+47 47.89 1.614
0.7993 1.178e-26 1.22e-27 1.434e+48 3.551e+47 47.12 1.57
0.8328 1.131e-26 1.158e-27 1.557e+48 3.84e+47 46.28 1.526
0.8677 1.085e-26 1.099e-27 1.69e+48 4.153e+47 45.36 1.482
0.904 1.041e-26 1.043e-27 1.835e+48 4.491e+47 44.35 1.439
0.9419 9.995e-27 9.895e-28 1.992e+48 4.857e+47 43.26 1.396
0.9814 9.593e-27 9.387e-28 2.162e+48 5.253e+47 42.09 1.354
1.022 9.207e-27 8.904e-28 2.347e+48 5.683e+47 40.82 1.313
1.065 8.837e-27 8.444e-28 2.547e+48 6.149e+47 39.46 1.272
1.11 8.481e-27 8.006e-28 2.765e+48 6.656e+47 38 1.228
1.156 8.139e-27 7.59e-28 3.002e+48 7.209e+47 36.46 1.178
1.205 7.812e-27 7.195e-28 3.258e+48 7.813e+47 34.85 1.123
1.255 7.497e-27 6.82e-28 3.537e+48 8.474e+47 33.18 1.065
1.308 7.195e-27 6.463e-28 3.839e+48 9.199e+47 31.48 1.003
1.363 6.906e-27 6.124e-28 4.167e+48 9.994e+47 29.77 0.939
1.42 6.628e-27 5.803e-28 4.523e+48 1.087e+48 28.07 0.8735
1.479 6.361e-27 5.498e-28 4.91e+48 1.182e+48 26.38 0.8074
1.541 6.105e-27 5.208e-28 5.33e+48 1.287e+48 24.73 0.742
1.606 5.859e-27 4.934e-28 5.785e+48 1.403e+48 23.14 0.6787
1.673 5.623e-27 4.673e-28 6.28e+48 1.529e+48 21.6 0.6186
1.743 5.396e-27 4.426e-28 6.816e+48 1.667e+48 20.12 0.5627
1.816 5.179e-27 4.192e-28 7.399e+48 1.817e+48 18.7 0.5119
1.892 4.97e-27 3.97e-28 8.031e+48 1.981e+48 17.33 0.4664
1.971 4.77e-27 3.759e-28 8.718e+48 2.16e+48 16.01 0.4254
2.054 4.578e-27 3.56e-28 9.463e+48 2.354e+48 14.73 0.3881
2.14 4.393e-27 3.371e-28 1.027e+49 2.566e+48 13.49 0.354
2.23 4.216e-27 3.191e-28 1.115e+49 2.795e+48 12.28 0.3231
2.323 4.046e-27 3.022e-28 1.21e+49 3.043e+48 11.1 0.2951
2.42 3.883e-27 2.861e-28 1.314e+49 3.313e+48 9.938 0.2698
2.522 3.727e-27 2.708e-28 1.426e+49 3.604e+48 8.8 0.2468
2.627 3.576e-27 2.564e-28 1.548e+49 3.92e+48 7.678 0.2257
2.737 3.432e-27 2.427e-28 1.68e+49 4.261e+48 6.568 0.2065
2.852 3.294e-27 2.298e-28 1.823e+49 4.63e+48 5.468 0.1889
2.972 3.161e-27 2.175e-28 1.979e+49 5.027e+48 4.375 0.1729
3.096 3.033e-27 2.059e-28 2.148e+49 5.457e+48 3.285 0.1583
3.226 2.911e-27 1.949e-28 2.332e+49 5.92e+48 2.194 0.1451
3.361 2.794e-27 1.845e-28 2.531e+49 6.42e+48 1.099 0.1329
3.502 2.681e-27 1.746e-28 2.747e+49 6.958e+48 -0.001276 0.1218
