x	y	z	Phi	Fx	Fy	Fz	Rho
0.001	0	0	-1.1223003	0.73170273	0	0	185.22718
0.002124478	0	0	-1.1214781	0.73051748	0	0	86.959604
0.0033889288	0	0	-1.1205552	0.72916227	0	0	54.38351
0.0048107758	0	0	-1.1195195	0.72769638	0	0	38.201156
0.0064096115	0	0	-1.1183574	0.72602668	0	0	28.580372
0.0082074671	0	0	-1.1170538	0.72415192	0	0	22.240178
0.010229116	0	0	-1.1155919	0.72206192	0	0	17.773672
0.012502416	0	0	-1.1139531	0.71972306	0	0	14.476445
0.015058692	0	0	-1.1121167	0.7171055	0	0	11.958554
0.017933167	0	0	-1.1100596	0.71418475	0	0	9.985101
0.021165452	0	0	-1.1077564	0.71091889	0	0	8.4066138
0.024800085	0	0	-1.1051791	0.70727582	0	0	7.12379
0.02888715	0	0	-1.1022967	0.70322165	0	0	6.067424
0.033482964	0	0	-1.0990752	0.69870349	0	0	5.1880477
0.038650857	0	0	-1.0954774	0.69367774	0	0	4.4497347
0.044462038	0	0	-1.0914626	0.688102	0	0	3.8253084
0.050996583	0	0	-1.0869864	0.6819196	0	0	3.2937005
0.058344535	0	0	-1.0820009	0.67507139	0	0	2.8390023
0.066607146	0	0	-1.0764544	0.66750583	0	0	2.448445
0.07589827	0	0	-1.0702914	0.65916803	0	0	2.1117618
0.086345935	0	0	-1.0634527	0.64999258	0	0	1.8206685
0.098094103	0	0	-1.0558759	0.63992124	0	0	1.5684778
0.11130466	0	0	-1.0474954	0.62889836	0	0	1.3496195
0.12615964	0	0	-1.0382429	0.61687195	0	0	1.159494
0.14286374	0	0	-1.0280485	0.60379762	0	0	0.99420456
0.16164713	0	0	-1.016841	0.58963043	0	0	0.85046131
0.18276864	0	0	-1.0045498	0.57433194	0	0	0.72548486
0.20651932	0	0	-0.99110588	0.55789065	0	0	0.61704803
0.23322643	0	0	-0.97644292	0.54032096	0	0	0.52299193
0.26325798	0	0	-0.9604997	0.52162098	0	0	0.44152347
0.29702781	0	0	-0.94322268	0.50180501	0	0	0.37111197
0.33500124	0	0	-0.92456803	0.48095535	0	0	0.31064984
0.37770152	0	0	-0.9045018	0.45918639	0	0	0.25873766
0.42571705	0	0	-0.88300411	0.43656912	0	0	0.21431951
0.47970945	0	0	-0.86007282	0.41319735	0	0	0.17647836
0.54042272	0	0	-0.83572489	0.38926458	0	0	0.14460874
0.60869346	0	0	-0.80999298	0.36498294	0	0	0.11774342
0.6854624	0	0	-0.78293116	0.34049397	0	0	0.095218075
0.77178738	0	0	-0.75461811	0.3159556	0	0	0.07644819
0.86885792	0	0	-0.72515475	0.29163721	0	0	0.061079298
0.97801162	0	0	-0.69465347	0.26778661	0	0	0.048447703
1.1007525	0	0	-0.66324664	0.24453747	0	0	0.038144766
1.238772	0	0	-0.63108898	0.22202354	0	0	0.029809254
1.3939719	0	0	-0.59835074	0.20046711	0	0	0.023214542
1.5684907	0	0	-0.56519899	0.18004845	0	0	0.017944218
1.7647333	0	0	-0.53180899	0.16082351	0	0	0.013753465
1.9854037	0	0	-0.49836652	0.14283601	0	0	0.010441595
2.2335428	0	0	-0.46505644	0.12621124	0	0	0.0079080221
2.5125697	0	0	-0.43203508	0.11100511	0	0	0.0059433496
2.8263293	0	0	-0.39945799	0.097139367	0	0	0.0044434277
3.1791452	0	0	-0.36748773	0.084541665	0	0	0.0033143188
3.5758788	0	0	-0.33627666	0.073247387	0	0	0.0025097609
4.021997	0	0	-0.30592142	0.063233768	0	0	0.0018822831
