x	y	z	Phi	Fx	Fy	Fz	Rho
0.001	0	0	-3.7953434	3.8390817	0	0	1370.2449
0.002124478	0	0	-3.7910297	3.8323838	0	0	643.25443
0.0033889288	0	0	-3.7861886	3.825132	0	0	402.27557
0.0048107758	0	0	-3.7807555	3.8171341	0	0	282.55743
0.0064096115	0	0	-3.7746598	3.8079768	0	0	211.39423
0.0082074671	0	0	-3.7678228	3.7977842	0	0	164.4929
0.010229116	0	0	-3.7601565	3.7864071	0	0	131.45048
0.012502416	0	0	-3.7515634	3.7736554	0	0	107.05817
0.015058692	0	0	-3.7419351	3.7593959	0	0	88.433933
0.017933167	0	0	-3.7311517	3.7434863	0	0	73.834284
0.021165452	0	0	-3.7190805	3.7256827	0	0	62.158656
0.024800085	0	0	-3.7055751	3.7058897	0	0	52.669261
0.02888715	0	0	-3.6904741	3.6837911	0	0	44.852381
0.033482964	0	0	-3.6736007	3.6591887	0	0	38.350121
0.038650857	0	0	-3.6547611	3.6319119	0	0	32.888577
0.044462038	0	0	-3.6337438	3.60153	0	0	28.266698
0.050996583	0	0	-3.6103196	3.5679059	0	0	24.337453
0.058344535	0	0	-3.5842396	3.5307874	0	0	20.974186
0.066607146	0	0	-3.5552364	3.4896315	0	0	18.082961
0.07589827	0	0	-3.5230252	3.4443442	0	0	15.595243
0.086345935	0	0	-3.4873002	3.3946823	0	0	13.442454
0.098094103	0	0	-3.4477412	3.3399866	0	0	11.574541
0.11130466	0	0	-3.4040156	3.2801969	0	0	9.9589114
0.12615964	0	0	-3.3557729	3.2153236	0	0	8.5533631
0.14286374	0	0	-3.3026574	3.1445884	0	0	7.3290065
0.16164713	0	0	-3.2443184	3.067792	0	0	6.2687068
0.18276864	0	0	-3.1803977	2.9855121	0	0	5.3466908
0.20651932	0	0	-3.1105484	2.8969823	0	0	4.5428383
0.23322643	0	0	-3.0344609	2.8018485	0	0	3.8471124
0.26325798	0	0	-2.9518376	2.7016777	0	0	3.2464593
0.29702781	0	0	-2.8624078	2.5957881	0	0	2.7261577
0.33500124	0	0	-2.7659932	2.4833346	0	0	2.2797659
0.37770152	0	0	-2.6624795	2.3668202	0	0	1.9028902
0.42571705	0	0	-2.5517578	2.2467715	0	0	1.5765859
0.47970945	0	0	-2.4338527	2.1223462	0	0	1.2927033
0.54042272	0	0	-2.3089404	1.9948555	0	0	1.0523969
0.60869346	0	0	-2.1772087	1.8665986	0	0	0.85177208
0.6854624	0	0	-2.0389641	1.7373161	0	0	0.68953064
0.77178738	0	0	-1.8947111	1.6075513	0	0	0.56366597
0.86885792	0	0	-1.7449731	1.4806404	0	0	0.46049739
0.97801162	0	0	-1.5902469	1.3574582	0	0	0.36634531
1.1007525	0	0	-1.431127	1.2370291	0	0	0.26829501
1.238772	0	0	-1.2706979	1.083992	0	0	0.15930608
1.3939719	0	0	-1.116577	0.90289037	0	0	0.080942032
1.5684907	0	0	-0.97577829	0.71458906	0	0	0.030914792
1.7647333	0	0	-0.85303421	0.54683768	0	0	0.014352443
1.9854037	0	0	-0.74741855	0.41876929	0	0	0.0072023842
2.2335428	0	0	-0.65632409	0.32189152	0	0	0.0037976492
2.5125697	0	0	-0.57737508	0.24874647	0	0	0.0019595077
2.8263293	0	0	-0.50868665	0.19265382	0	0	0.00093321181
3.1791452	0	0	-0.4487912	0.14961929	0	0	0.00046152435
3.5758788	0	0	-0.39639534	0.11651649	0	0	9.5477029e-05
4.021997	0	0	-0.35056643	0.090604115	0	0	4.4148062e-05
4.5236471	0	0	-0.31041623	0.070720764	0	0	2.0427175e-05
5.0877416	0	0	-0.27512368	0.055361634	0	0	9.4564984e-06
