#             ra            dec     g_final[0]     g_final[1]        w_final       Sc_final       rg_final        z_final           mask
       6.9759135     -55.930452    0.055509458     0.14473758      2.8713717  3.5687877e-10      4.1259603          1.034          11111
       6.9737452     -55.974505   -0.028172478     0.56180872      2.9147404  3.5025293e-10      4.2708473          0.988          11111
       6.9751393     -55.949285    -0.50049851         0.3114      3.1974841  2.3726721e-10      4.2080891          0.565          11011
       6.9748743     -55.922353    -0.28171289    0.029861756      3.1974841  3.0197149e-10       4.129424          0.746          11011
       6.9738853      -55.92102    -0.12961142    -0.26275855      3.1974841  2.9413539e-10      4.1505845          0.718          11011
       6.9745888       -55.9617    0.053304042    0.031356646      3.0205804  3.3001522e-10      4.1673572           0.87          11011
        6.972734     -55.957182    -0.42105978    -0.46660344      3.1974841  2.8658982e-10      4.3922488          0.694          11011
       6.9792485     -55.942172       0.335993    0.076591833      2.2752767  3.5346961e-10      4.2149771           1.01          11101
       6.9745537      -55.94243    -0.15787432    -0.37215894      2.9314371  3.3254523e-10      4.3847291          0.883           1111
        6.975221      -55.96913  -0.0040128113     0.16140803      2.8361353  2.9849036e-10       4.178396          0.734          11101
        6.976255     -55.971897     0.24038507   -0.041718325      2.3163177  3.5180156e-10      4.1277798          0.999          11101
       6.9780837     -55.940407     0.21731078     0.46646505      1.6090558       3.55e-10      4.0321493           1.02          11101
       6.9750103     -55.924353     0.17321223    0.099798572       2.178874  3.5450359e-10      4.1305436          1.017          11101
       6.9714493      -55.93606     0.10801707    -0.88660738      2.5665358  3.3145909e-10      4.0433204          0.877          11110
       6.9744313     -55.954457    -0.06558076    0.086019903      2.7602484   3.505204e-10      4.2027833           0.99           1011
       6.9750643     -55.949745    -0.30895077   -0.098644377      2.7602484  3.1833845e-10      4.2009188          0.814           1011
        6.975446      -55.92602     0.35119279   -0.098113274      2.7248223   3.633558e-10      4.3320433          1.084           1011
       6.9746567     -55.937363     0.31751784     0.27694843      2.7602484  3.5211218e-10      4.3434302              1           1011
       6.9735452     -55.953108    -0.19132729    -0.34418941      2.3114588   3.618935e-10      4.6239631          1.072            111
       6.9750508     -55.937442    -0.21085893     0.10563788      2.7602484  2.9179656e-10      4.4326012           0.71           1011
       6.9740195     -55.944702    0.027911556    0.041129379      2.1978798       3.55e-10      4.4956281           1.02           1011
       6.9750808     -55.957438     0.17387813    -0.10515224      2.7602484  3.2929237e-10      4.3330662          0.867           1011
       6.9742192     -55.972723    -0.80746164    0.062169655      1.9882233       3.55e-10      4.5872984           1.02           1011
       6.9731325     -55.946335     0.25278563    -0.10818686      2.7602484  3.3167531e-10      4.4419385          0.878           1011
       6.9755085     -55.938192    -0.18478793     0.02995662      2.2401096       3.55e-10      4.4372369           1.02           1011
       6.9739993     -55.939705    0.050483806    -0.44666313      2.6296912  3.6457164e-10      4.4101331          1.093           1011
       6.9745923     -55.968775    -0.23877926    -0.13537723      2.3669861       3.55e-10      4.5233038           1.02           1011
       6.9749618     -55.926307    0.015096136     0.12177157      1.9720439       3.55e-10      4.5762391           1.02           1011
       6.9722022     -55.967513     0.28002698    -0.24081174       2.667559  3.6488724e-10      4.3301494          1.097           1011
       6.9725258     -55.967213     0.40655911     -0.2639157      2.7602484  3.5389058e-10      4.3001998          1.013           1011
       6.9750445      -55.92755    -0.34558015    -0.26422637      2.4222368  3.6644375e-10      4.5093352           1.11           1011
       6.9730102     -55.950387   -0.066781931     -0.5866749      1.4868483       3.55e-10      4.5288905           1.02           1011
       6.9739012     -55.967643     0.27718253    -0.16381197      2.4522369       3.55e-10      4.4699126           1.02           1011
       6.9725568     -55.950408     0.19092696    -0.53366272      2.3918006       3.55e-10      4.4968013           1.02           1011
       6.9785143     -55.954668    -0.13277595     -0.6301053       2.391572   3.397798e-10      3.9811548          0.923          11001
       6.9733727     -55.942353    -0.40463101    -0.12241341      2.7068153       3.55e-10      4.2857909           1.02           1011
       6.9765667     -55.971698      0.4057406   -0.022880782      2.6588177  2.8148283e-10      4.0690324          0.678          11001
       6.9758363     -55.926977    -0.23017479     0.06989885      2.1992735  3.7038967e-10      4.1199449          1.144          11010
       6.9741525     -55.956475     0.32046766    -0.62045008      2.6696104  3.4955272e-10      4.4784771          0.983           1011
       6.9767352     -55.976673     0.13909801    0.004539975      2.6222347  3.1947299e-10      3.7547699          0.819          11001
       6.9721065     -55.968292    -0.48920007     0.22184022       2.707427   3.668501e-10      4.3422178          1.113           1011
        6.978286     -55.941487     0.21104677     0.21786488      2.2732249  3.5082636e-10      4.2386387          0.992          11001
        6.974836      -55.95285     0.46605968    -0.36979205        2.20081  3.4691597e-10      3.9003002          0.967           1101
       6.9758962     -55.926313     0.55116558    -0.29706558      2.5950396       3.55e-10      4.5117594           1.02           1011
       6.9784233     -55.973187     0.44378116     -0.3150702      2.2030086  3.4664579e-10      4.0776737          0.964          11001
       6.9786062     -55.959167     0.18613475   -0.038912581      2.6315081  3.1557683e-10      4.1336674          0.802          11001
       6.9805408     -55.979878   -0.009331493    -0.19029174      1.5918649  3.2393695e-10      4.2872505           0.84          11100
       6.9723805     -55.973207    -0.18932555    -0.13067511      2.2425319  3.3582907e-10      4.1234951          0.901          11010
        6.972484     -55.972195     0.53550549   -0.038255156      2.7602484  3.4514231e-10      4.3581488          0.955           1011
       6.9754948      -55.97766     0.27257314   -0.054642399      2.6588177  2.7076394e-10      3.9358693          0.646          11001
       6.9738045     -55.912075   0.0080221789     0.36390611      1.3708336  3.5067293e-10      2.7427563           0.99          11100
       6.9770128     -55.966802     0.22127775    -0.23529067      2.1398169       3.55e-10      4.1644639           1.02          11001
       6.9742425     -55.955513    -0.20473588     0.35896833      2.3923581  3.4015643e-10      3.9409053          0.925          11001
       6.9685905     -55.951177      0.7400584    0.046638876      2.1861867  3.3496087e-10      4.0249182          0.896           1110
       6.9804728     -55.967278   -0.050938707    0.060905526      2.2043137   2.497846e-10      3.9503984          0.592          11100
       6.9754085     -55.960778   -0.029555672     0.37583376      2.4891689  3.2812472e-10       4.044347           0.86          11001
       6.9778207     -55.969705     0.30789802    -0.58708836      2.4279257   3.364536e-10      4.0451829          0.904          11001
